Unnamed: 0,id,original_language,original_title,popularity,release_date,vote_average,vote_count,genre,overview,revenue,runtime,tagline
25,459151,en,The Boss Baby: Family Business,0.2964878986775421,2021-07-01,0.8105263157894737,1582,"['Animation', 'Comedy', 'Adventure', 'Family']",The Templeton brothers — Tim and his Boss Baby little bro Ted — have become adults and drifted away from each other. But a new boss baby with a cutting-edge approach and a can-do attitude is about to bring them together again … and inspire a new family business.,0.9403802451030582,107.0,Playtime is over.
26,820511,en,Ripper Untold,0.26419584253670614,2021-06-28,0.6842105263157894,47,['Horror'],A detective and a medical examiner join forces to solve a series of horrific murders in Victorian London - but one of them harbours a deadly secret.,0.0,85.0,"1888, a bloodbath in Whitechapel. No one is safe."
27,772436,es,Matando Cabos 2: La Máscara del Máscara,0.2699346625988544,2021-10-01,0.8315789473684211,57,"['Action', 'Comedy', 'Adventure']","Faced with the unexpected death of his estranged father -El Máscara- and the subsequent theft of his precious mask, Rubén -Mascarita- will find himself confronted with his past. Alongside his invincible bodyguard Tony ""The Cannibal"" and, an unexpected ally, he will have only one day to recover it and make amends with the memory of his father.",0.0,0.0,
30,508943,en,Luca,0.2487530280798439,2021-06-17,0.8421052631578947,5020,"['Animation', 'Comedy', 'Family', 'Fantasy']",Luca and his best friend Alberto experience an unforgettable summer on the Italian Riviera. But all the fun is threatened by a deeply-held secret: they are sea monsters from another world just below the water’s surface.,0.4115057017521249,95.0,
31,613098,es,Operación Camarón,0.22741782945979996,2021-06-24,0.5789473684210527,17,['Comedy'],"Geeky-looking Sebas is a surprisingly good classical musician. He’s also a complete unknown in the criminal underworld, and as a new newbie on the police force, that makes him the perfect man for a dangerous mission: to go undercover as a keyboard player for “Los Lolos”, a cheesy flamenco-trap band, who have been hired to play at the wedding of a local mafia boss’ daughter that a major drug trafficker will be attending.  Sebas is keen to take on the mission, blissfully unaware that he will turn out to be even cheesier than Lolo, the band’s lead singer, and fall in love with his sister, Luci. Now Sebas will face a tough choice: remain loyal to his new friends or complete his police mission.",0.0,90.0,
33,760195,en,Separation,0.21666677139921636,2021-04-30,0.631578947368421,77,['Horror'],A young girl finds solace in her artist father and the ghost of her dead mother.,0.0,107.0,It won't let go.
35,744275,en,After We Fell,0.24320586858369123,2021-09-01,0.7789473684210526,766,"['Romance', 'Drama']","Just as Tessa's life begins to become unglued, nothing is what she thought it would be. Not her friends nor her family. The only person that she should be able to rely on is Hardin, who is furious when he discovers the massive secret that she's been keeping. Before Tessa makes the biggest decision of her life, everything changes because of revelations about her family.",0.15952879157998306,99.0,
36,839436,en,Dragon Fury,0.22533194981635143,2021-06-15,0.631578947368421,21,"['Horror', 'Fantasy', 'Mystery']",A group of soldiers are taken to the mountains of Wales to investigate a strange beast.,0.0,88.0,They thought they could control it. They were wrong!
37,874948,tr,Kin,0.22506252533218546,2021-10-08,0.6947368421052631,32,"['Crime', 'Drama', 'Thriller']","Ahead of a promotion, a police chief becomes entangled in a deadly incident and uncovers an intrigue fueled by grudge that threatens his colleagues.",0.0,104.0,
38,864873,en,Hypnotic,0.1994762325188283,2021-10-27,0.6526315789473685,214,"['Thriller', 'Drama', 'Horror']","A young woman seeking self-improvement enlists the help of a renowned hypnotist but, after a handful of intense sessions, discovers unexpected and deadly consequences.",0.0,88.0,His wish is her command.
40,812204,en,Rock Dog 2: Rock Around the Park,0.23774668442930708,2021-06-24,0.7999999999999999,25,"['Animation', 'Comedy', 'Music', 'Family']","When Bodi and his band 'True Blue' leave Snow Mountain, to tour with pop sensation, Lil' Foxy, they learn that fame comes at a price.",0.0,90.0,
42,637649,en,Wrath of Man,0.210389887862859,2021-04-22,0.8210526315789473,2598,"['Action', 'Crime', 'Thriller']","A cold and mysterious new security guard for a Los Angeles cash truck company surprises his co-workers when he unleashes precision skills during a heist. The crew is left wondering who he is and where he came from. Soon, the marksman's ultimate motive becomes clear as he takes dramatic and irrevocable steps to settle a score.",0.8729288607886106,119.0,A one man army.
